date,tittle,price,huxing,area,built,chaoxiang,leibie,loucheng,zhuangxiu
发布时间：2018年11月29日,"
      中海联睿品 新塘万达旁 单合同不限购精装 6米高真复式  ",225,3室2厅2卫,96平方米,2018年,南北,普通住宅,低层(共33层),精装修
发布时间：2018年12月15日,"
      业主包税 甘泉小学学位 一线望江豪宅 带精装 产权清晰  ",145,3室2厅2卫,89平方米,2015年,东南,普通住宅,低层(共32层),精装修
发布时间：2018年12月16日,"
      富丽园 新塘地铁站旁 产权清晰 业主带家私家电急售 省级学位  ",141,3室2厅2卫,90平方米,2012年,南,普通住宅,中层(共32层),精装修
发布时间：2018年12月12日,"
      中海联睿品,好的地段，好的环境，好的交通，好的设施，好的选择  ",193,3室2厅2卫,89平方米,2018年,南,普通住宅,中层(共21层),精装修
发布时间：2018年12月11日,"
      汇美之家 铁口300米 公立小学学位 一次性更优少5万  ",75,3室2厅2卫,90平方米,2010年,南,普通住宅,中层(共12层),简单装修
发布时间：2018年12月12日,"
      新塘中海联睿品 单合同 地铁物业 精装3房 来电畅享更多折扣  ",185,3室2厅2卫,88平方米,2018年,南,普通住宅,中层(共31层),精装修
发布时间：2018年11月30日,"
      万达广场在左 凯达尔交通中心在右 地段优越 价格不高  ",190,3室2厅2卫,90.1平方米,2010年,南,普通住宅,中层(共16层),简单装修
发布时间：2018年12月20日,"
      （业主诚售）罕见一楼带花园新装修 温馨三房 有钥匙随时可看  ",218,3室2厅1卫,85平方米,1995年,西南,普通住宅,低层(共7层),精装修
发布时间：2018年12月14日,"
      新康花园带學位 南向大三房 全新装修带阁楼 近哋鉄  ",142,3室2厅1卫,80平方米,2006年,南,普通住宅,高层(共6层),精装修
发布时间：2018年12月11日,"
      万科大品牌 增城地铁口 国家4A白水寨风景区  ",112.5,3室2厅2卫,95平方米,2016年,南,普通住宅,高层(共11层),精装修
发布时间：2018年11月07日,"
      首付28万！！！送100平方私家花园 新康花园 电梯大两房  ",155,2室2厅1卫,81.4平方米,2004年,北,普通住宅,高层(共11层),精装修
发布时间：2018年12月15日,"
      业主包税 甘泉小学学位 一线望江豪宅 带精装 产权清晰  ",145,3室2厅2卫,89平方米,2015年,东南,普通住宅,低层(共32层),精装修
发布时间：2018年12月18日,"
      低首付 一线望江环境好 业主诚心急售 低于市场价格 价格可谈  ",160.5,3室2厅1卫,89平方米,2012年,东南,普通住宅,低层(共32层),精装修
发布时间：2018年12月18日,"
      钟村地铁口精装两房可公积金无按揭有钥匙随时看  ",295,2室2厅1卫,88平方米,2008年,南,普通住宅,中层(共6层),豪华装修
发布时间：2018年12月20日,"
      诚信真盘 天河直街小区 省级华阳 购书旁精装两房 小区管理  ",438,3室2厅2卫,80平方米,1998年,南北,普通住宅,低层(共9层),豪华装修
发布时间：2018年12月15日,"
      内部转名特价房 全新未入住 单合同 新塘核心位置 支持公积金  ",176.8,3室2厅2卫,85平方米,2015年,东南,普通住宅,低层(共32层),精装修
发布时间：2018年12月08日,"
      新康花园 大两房可改三房 正南向 带学位 白江地铁口物业  ",160,2室2厅2卫,98平方米,2006年,南,普通住宅,低层(共7层),精装修
发布时间：2018年12月13日,"
      急售一口价140万！新康花园 南向大两房 装修保养好！  ",140,2室2厅1卫,82平方米,2005年,南,普通住宅,中层(共6层),精装修
发布时间：2018年12月20日,"
      华阳本部，恒达苑小区，花园中心位置，安静，外墙新净，东南向。  ",550,3室2厅2卫,85平方米,1997年,北,普通住宅,低层(共9层),精装修
发布时间：2018年12月19日,"
      锦绣生态园 精装实用大三房 告别蜗居时代 您准备好了吗  ",288,3室2厅2卫,108平方米,2002年,东南,普通住宅,低层(共6层),精装修
发布时间：2018年12月01日,"
      业主回老家发展，诚心卖！价格可谈，可公积金，详情来电有优惠  ",98,2室2厅1卫,85平方米,2000年,南,普通住宅,中层(共9层),精装修
发布时间：2018年12月14日,"
      新康花园 精装两房 过五税费少  保养好 直接入住  ",135,2室2厅1卫,80平方米,2008年,南,普通住宅,中层(共7层),精装修
发布时间：2018年12月14日,"
      可议价（群星花园）总价低，首付少，产权清晰，近地铁，配套齐，  ",100,3室2厅1卫,85平方米,2005年,南,普通住宅,中层(共8层),精装修
发布时间：2018年12月18日,"
      (一成首付)云溪四季 精装三房 公立小学 首付16万  ",160,3室2厅2卫,95平方米,2017年,南,普通住宅,低层(共32层),精装修
发布时间：2018年12月17日,"
      新世界 沙村地铁口300米物业 大型小区 配套齐全 户型方正  ",150,2室2厅1卫,78.4平方米,2008年,北,普通住宅,低层(共7层),精装修
发布时间：2018年12月11日,"
      富好城 送家电 包含全部费用 产权清晰 准新房 可带租约出售  ",130,3室2厅1卫,81平方米,2013年,南,普通住宅,低层(共23层),精装修
发布时间：2018年12月09日,"
      长兴路 建丽花园 带露台实用户型 豪华装修 即买即拎包入住  ",358,2室2厅1卫,92平方米,2008年,南,普通住宅,低层(共9层),豪华装修
发布时间：2018年11月15日,"
      金泽豪庭  地铁口40万买大三房  ",280,3室2厅2卫,125平方米,2009年,南北,普通住宅,高层(共26层),精装修
发布时间：2018年12月16日,"
      新康花园唯一南向的电梯两房，仅此一套，南向，C过不再有  ",172,2室2厅1卫,89平方米,2005年,南,普通住宅,中层(共11层),精装修
发布时间：2018年11月23日,"
      新塘新康花园 南向精装大两房 小区自带小学 业主换房急售  ",115,2室2厅1卫,82平方米,2006年,南北,普通住宅,高层(共7层),精装修
发布时间：2018年12月13日,"
      官湖地铁口精装三房 产权清晰 可公积金 价格可谈  ",125.5,3室2厅1卫,80平方米,2012年,东南,普通住宅,低层(共28层),精装修
发布时间：2018年12月15日,"
      东方名都 白江地铁口 精装修三房两卫 配套齐全  ",285,3室2厅2卫,123.3平方米,2008年,西南,普通住宅,低层(共23层),精装修
发布时间：2018年12月15日,"
      洛涛南区 一楼带80方花园 全新装修 随时看房 单数位置  ",340,3室2厅1卫,95平方米,2000年,南,普通住宅,低层(共6层),精装修
发布时间：2018年12月15日,"
      业主因资金周转.已经比市场价低几十万卖.满2年.税费少.  ",290,3室2厅2卫,136.6平方米,2012年,南,普通住宅,低层(共39层),精装修
发布时间：2018年12月01日,"
      新康花园 精装三房 送全屋家私家电 108方158万  ",158,3室2厅2卫,108平方米,2000年,东南,普通住宅,低层(共7层),精装修
发布时间：2018年12月11日,"
      丽江丽字楼 方正三房 视野开阔 全南户型 交通方便 配套完善  ",230,3室2厅2卫,94平方米,1995年,东南,普通住宅,低层(共9层),精装修
发布时间：2018年11月17日,"
      笋到没朋友 失去不再有 精装南向两房 全新未住 只要170万  ",170,2室2厅1卫,80平方米,2010年,南,普通住宅,高层(共6层),精装修
发布时间：2018年12月13日,"
      新康花园 一二楼复式 赠送50方花园 南北对流 绿树成荫  ",250,4室2厅2卫,127.4平方米,2004年,南北,普通住宅,低层(共7层),精装修
发布时间：2018年11月28日,"
      新康花园 正规三房 白江站地铁口 成熟小区  交通便利  ",175,3室2厅2卫,107平方米,2005年,南,普通住宅,高层(共6层),简单装修
发布时间：2018年12月18日,"
      红本在手 产权清晰 高评估低首付 送家具家电 交通方便  ",90,3室2厅2卫,98平方米,2012年,南,普通住宅,中层(共18层),精装修
发布时间：2018年12月06日,"
      东风东学位 中层3房 东南北单边双阳台 近地铁 有匙随时看  ",475,3室2厅1卫,82平方米,1999年,东南,普通住宅,高层(共7层),精装修
发布时间：2018年12月15日,"
      华阳学位，天河直街安静位置东南向三房双阳台86方才365万  ",365,3室2厅1卫,86平方米,1993年,东南,普通住宅,中层(共9层),精装修
发布时间：2018年11月28日,"
      现价580万暨大校内楼龄新价格笋装修好只要你看好其他都好说！  ",650,3室2厅1卫,92平方米,2000年,南北,普通住宅,中层(共6层),精装修
发布时间：2018年12月10日,"
      万华花园电梯三房 阳台看园景非常安静 业主急处理 看房有匙  ",310,3室2厅1卫,89平方米,2004年,东北,普通住宅,中层(共11层),简单装修
发布时间：2018年12月15日,"
      东圃广场 精装修3房2卫 随时看房 金融城板块物业  ",315,3室2厅2卫,82平方米,2003年,南北,普通住宅,高层(共11层),精装修
发布时间：2018年12月20日,"
      新收 太.平洋花园 南向 84方 实际成交价少几万 产权清晰  ",96,3室1厅2卫,84平方米,2003年,南北,普通住宅,中层(共7层),精装修
发布时间：2018年12月15日,"
      云峰花园三期，机组车上落点，地铁口物业，证过两年，随时看房  ",280,3室2厅2卫,117平方米,2012年,东南,普通住宅,高层(共11层),精装修
发布时间：2018年12月07日,"
      精装大3房高层望花园手付只要30万就能买番禺中心位置  ",230,3室2厅1卫,98平方米,2006年,南北,普通住宅,高层(共11层),精装修
发布时间：2018年12月06日,"
      2号线黄边地铁口 住家精装3房 东南向 采光通风非常好 急卖  ",215,3室1厅1卫,84平方米,1999年,南,普通住宅,中层(共9层),精装修
发布时间：2018年11月21日,"
      金泽豪庭 东南向小三房，中高楼层，通风采光超好，刚需客一选  ",216,3室2厅1卫,91平方米,2012年,南,普通住宅,中层(共26层),精装修
发布时间：2018年12月18日,"
      水荫西约 入读名校水荫小学 全新装修 格局方正 准电梯 急售  ",355,3室1厅1卫,90平方米,1995年,东南,普通住宅,中层(共9层),精装修
发布时间：2018年11月19日,"
      金河湾花园 低层 带平台 南向看花园 够2 花都湖 机场快线  ",150,2室2厅1卫,85平方米,2008年,南,普通住宅,低层(共8层),精装修
发布时间：2018年12月19日,"
      北亭大街5巷13号 红本在手 可按揭带学位 地铁口 随时看房  ",110,3室2厅2卫,90平方米,2010年,南北,普通住宅,中层(共6层),精装修
发布时间：2018年12月12日,"
      华颖花园 方正三房 精装 南北对流 中层 學位房 产权清晰  ",358,3室1厅2卫,95平方米,1999年,东南,普通住宅,中层(共9层),精装修
发布时间：2018年12月02日,"
      莲港花园 业主急售 配套齐全 南北通透 产权清晰 可公积金  ",120,3室2厅1卫,88.1平方米,2001年,南,普通住宅,高层(共10层),精装修
发布时间：2018年12月06日,"
      集贤苑 直降15万 通风透气好 南向采光十足 价格可实惠  ",265,3室2厅1卫,93平方米,2013年,南,普通住宅,中层(共11层),精装修
发布时间：2018年12月14日,"
      清水濠小区 低层三房 附送20方平台 精装修 随时可看  ",255,3室1厅1卫,63平方米,1990年,西南,普通住宅,低层(共9层),豪华装修
发布时间：2018年12月17日,"
      汇海花园 带家私电器卖 房子基本未住  业主才入住一个月  ",280,3室2厅1卫,89.8平方米,2014年,南北,普通住宅,低层(共26层),精装修
发布时间：2018年12月14日,"
      业主出国 低于市价20万出售 精装3房 近地铁  带省级学位  ",283,3室2厅2卫,84平方米,2012年,南,普通住宅,中层(共28层),精装修
发布时间：2018年12月05日,"
      翠华小区 首付3成 带学位 配套成熟 交通便利 来电享优惠！  ",80.6,3室2厅2卫,87.1平方米,2015年,东南,普通住宅,中层(共8层),精装修
发布时间：2018年12月10日,"
      泰景花园 带省一级名校 临近5号地铁 精装南向两房 首付三成  ",275,3室2厅2卫,80平方米,2000年,南北,普通住宅,高层(共8层),精装修
发布时间：2018年12月12日,"
      中海联睿品地铁口300米 新塘万达广场 免息分期2年来电98  ",177,3室2厅2卫,85平方米,2017年,南,普通住宅,中层(共31层),精装修
发布时间：2018年12月07日,"
      三眼井小区 东向大三房 附送7平方 业主诚售 价格实惠 可看  ",450,3室1厅1卫,94平方米,1996年,东,普通住宅,高层(共9层),简单装修
发布时间：2018年12月15日,"
      新兴白云花园精装电梯大三房 户型方正采光通风好 近黄边地铁口  ",225,3室1厅1卫,84平方米,1999年,南,普通住宅,中层(共9层),精装修
发布时间：2018年12月19日,"
      全景房源 环城西路 市桥地铁口 南向三房 中楼层 随时看房  ",120,3室1厅1卫,80平方米,2000年,南,普通住宅,高层(共6层),精装修
发布时间：2018年12月08日,"
      新康花园 东南向 精致三房 满五免个税  ",152,3室2厅1卫,79平方米,2008年,南,普通住宅,高层(共6层),精装修
发布时间：2018年11月30日,"
      胜逸推荐 保利西子湾 三房95平方 格局方正 看房提前约  ",295,3室2厅1卫,96.4平方米,2012年,南,普通住宅,低层(共18层),精装修
发布时间：2018年11月27日,"
      兰圃新村的户型，朝南朝向，好位置，超值的好房子  ",82.5,3室1厅1卫,82.3平方米,1993年,南,普通住宅,中层(共6层),简单装修
发布时间：2018年12月18日,"
      VR全景看房 团一大地铁旁 户型方正 东西对流 环境优美  ",275,3室2厅1卫,91平方米,1995年,南,普通住宅,中层(共9层),简单装修
发布时间：2018年12月05日,"
      金泽豪庭豪装1手3房额外送多一个房南向望花园价格便宜我很喜欢  ",265,3室2厅2卫,124.8平方米,2018年,南,普通住宅,低层(共32层),豪华装修
发布时间：2018年12月05日,"
      金泽豪庭 中间单位 3房2卫 南北对流 310万 随时看  ",310,3室2厅2卫,143.2平方米,2012年,南北,普通住宅,低层(共26层),精装修
发布时间：2018年12月19日,"
      时代花园（白云温馨三房）满五，拎包入住，保留学位，近地铁物业  ",290,3室2厅2卫,83.1平方米,2010年,东南,普通住宅,高层(共15层),精装修
发布时间：2018年12月15日,"
      豪装带天台花园 晓港湾电梯三房 户型方正 全新装修入手即住  ",300,3室2厅1卫,82平方米,2000年,南,普通住宅,高层(共9层),豪华装修
发布时间：2018年12月17日,"
      业主直降30万 一次性价钱好谈 这个价仅售3天 真实可看  ",278,3室2厅2卫,93.2平方米,2010年,东南,普通住宅,中层(共11层),精装修
发布时间：2018年12月16日,"
      直降80万笋盘 金田花苑东南向三房急售438万 过五免重税  ",438,3室2厅1卫,85平方米,2000年,南,普通住宅,中层(共8层),精装修
发布时间：2018年12月12日,"
      南北对流，实用三房，全新装修了才一年，真实照片，中低层新婚房  ",438,3室2厅2卫,80平方米,1993年,南北,普通住宅,中层(共9层),精装修
发布时间：2018年11月10日,"
      北丽园，中心省一级学位，小区中间位，精装修，你想要的都能给你  ",226,3室2厅2卫,98平方米,1998年,南,普通住宅,高层(共7层),精装修
发布时间：2018年12月11日,"
      万科桃源里 广州醉低单价一万元大盘 三生三世十里桃花开  ",118,3室2厅2卫,100平方米,2017年,南,普通住宅,高层(共10层),精装修
发布时间：2018年12月11日,"
      真实新房源 中大旁新港西路151 三房南向 中层 电梯已动工  ",250,3室2厅1卫,80平方米,1998年,南,普通住宅,中层(共11层),简单装修
发布时间：2018年12月18日,"
      乐意居花苑三期三房 业主换房急售 望花园安静  ",340,3室1厅1卫,87平方米,2000年,北,普通住宅,中层(共9层),精装修
发布时间：2018年12月18日,"
      3D看房广州奥林匹克花园 精装 复式 3房2厅 格局保养好  ",330,3室2厅2卫,99.5平方米,2003年,南,普通住宅,高层(共6层),精装修
发布时间：2018年12月03日,"
      这是一套南向的电梯2房户型安静带大平台配套幼儿园 靓  ",530,3室2厅1卫,90平方米,1992年,南,普通住宅,低层(共8层),简单装修
发布时间：2018年12月10日,"
      （新上房源）星河湾一期 怡心园130方3室 望泳池 保养好  ",488,3室2厅2卫,130平方米,2002年,东北,普通住宅,低层(共9层),精装修
发布时间：2018年12月19日,"
      金融城地铁物业 南北对流三房 骏景花园 精装实用三房 安静  ",380,3室2厅1卫,81平方米,2000年,南北,普通住宅,中层(共10层),精装修
发布时间：2018年12月07日,"
      新上房源星河湾荟心园140方3房 直降30万 现诚售528万  ",528,3室2厅2卫,140平方米,2006年,南北,普通住宅,低层(共9层),精装修
发布时间：2018年12月12日,"
      中海联睿品 业主征信不过 内部急转 单合同 可按揭 价格美丽  ",180,3室2厅2卫,85平方米,2015年,南,普通住宅,中层(共32层),精装修
发布时间：2018年12月12日,"
      天河公园 金融城 广海花园 地段成熟 安静南向 户型方正  ",310,3室2厅2卫,83平方米,1999年,南,普通住宅,低层(共9层),精装修
发布时间：2018年12月12日,"
      新塘中海联睿品 单合同 地铁物业 精装3房 来电畅享更多折扣  ",185,3室2厅2卫,88平方米,2018年,南,普通住宅,中层(共31层),精装修
发布时间：2018年12月15日,"
      实房 丽江花园 丽字楼电梯东南精装3房证过5年有匙即看  ",230,3室2厅2卫,94.6平方米,1995年,东南,普通住宅,低层(共9层),精装修
发布时间：2018年12月13日,"
      泰禾广州院子 中式合院 独门独户独院带独立电梯 一城市一城府  ",350,6室2厅6卫,126平方米,2018年,南,别墅,低层(共6层),豪华装修
发布时间：2018年12月01日,"
      刚需小三房 南向望花园 视野开阔 送阁楼 看房方便  ",150,3室2厅1卫,79平方米,2004年,南,普通住宅,低层(共6层),精装修
发布时间：2018年12月08日,"
      （学位房）紧邻金隆小学 丰庭花园 精装3房 证过五年  ",178,3室2厅1卫,92.4平方米,2010年,南北,普通住宅,中层(共11层),精装修
发布时间：2018年12月07日,"
      吉祥北园 精装两房 可改三房 户型方正 位置安静 近地铁  ",200,2室2厅1卫,90平方米,1996年,南,普通住宅,低层(共7层),精装修
发布时间：2018年12月18日,"
      首付一成 业主上门放盘 总价9字头买三房 钥匙在手 随时看房  ",98,3室2厅1卫,83平方米,2008年,南,普通住宅,低层(共9层),精装修
发布时间：2018年12月09日,"
      出售 锦绣天伦花园小3房 楼层 采光好 首付仅需45万  ",200,3室1厅1卫,98.1平方米,2017年,南,普通住宅,共4层,豪华装修
发布时间：2018年12月18日,"
      东圃金融城 三溪站  87方精装三房 实用 没有一点浪费空间  ",350,3室2厅1卫,87平方米,2006年,北,普通住宅,中层(共11层),精装修
发布时间：2018年12月16日,"
      降价急售柏丽花园 近地铁近学校 可公积金 南北对流 随时看房  ",170,3室2厅2卫,90平方米,2013年,南北,普通住宅,中层(共11层),精装修
发布时间：2018年12月15日,"
      华阳 南向三房 一梯两户3号线 配套成熟装修精致 急卖  ",435,3室2厅2卫,80平方米,1998年,南北,普通住宅,低层(共9层),豪华装修
发布时间：2018年12月04日,"
      广州富力城东南向小三房 望花园  ",298,3室2厅1卫,88.9平方米,2007年,东南,普通住宅,中层(共18层),精装修
发布时间：2018年12月01日,"
      凤仪苑 朝花园 温馨舒适大两房 拎包入住  ",155,2室2厅1卫,78平方米,2003年,东,普通住宅,低层(共6层),精装修
发布时间：2018年12月14日,"
      （笋盘急售）顶好花园华宅 业主现诚心出售 送家私家电 可过户  ",102,3室2厅2卫,89平方米,2016年,南,普通住宅,中层(共32层),精装修
发布时间：2018年11月29日,"
      |诚信裕馨|区府板块 首付40万 步梯低层 精装2房阳台对流  ",165,3室1厅1卫,97平方米,2000年,东西,普通住宅,中层(共7层),精装修
发布时间：2018年12月16日,"
      全景实拍 黄埔 金港花园 东南向三房 业主定居香港急售  ",289,3室2厅1卫,92平方米,2000年,东南,普通住宅,中层(共24层),精装修
发布时间：2018年12月16日,"
      富丽园 新塘地铁站旁 产权清晰 业主带家私家电急售 省级学位  ",141,3室2厅2卫,90平方米,2012年,南,普通住宅,中层(共32层),精装修
发布时间：2018年12月12日,"
      中海联睿品,好的地段，好的环境，好的交通，好的设施，好的选择  ",193,3室2厅2卫,89平方米,2018年,南,普通住宅,中层(共21层),精装修
发布时间：2018年12月01日,"
      广州番禺 石楼區百福园小区 低楼层大三房 均价低首付低  ",120,3室2厅2卫,95平方米,1998年,南,普通住宅,中层(共7层),精装修
发布时间：2018年12月11日,"
      凤仪苑 精致三房带车位 超大主套房  落地窗  ",200,3室2厅2卫,100平方米,2003年,北,普通住宅,低层(共6层),精装修
发布时间：2018年12月16日,"
      新塘沙埔 现出小面积 稀有户型 业主放售 低总价 临近生态园  ",85,2室2厅1卫,75平方米,2013年,南北,普通住宅,中层(共8层),精装修
发布时间：2018年12月07日,"
      新塘万达旁 中海联睿品 双地铁口 6米复式精装三房 配套成熟  ",200,3室2厅2卫,85平方米,2016年,南,普通住宅,中层(共33层),豪华装修
发布时间：2018年12月15日,"
      淘金东路小区 间隔实用 低层楼梯三房两厅 南北对流 入读华侨  ",318,3室1厅1卫,67平方米,1992年,南北,普通住宅,低层(共9层),豪华装修
发布时间：2018年12月10日,"
      侨诚花园宝通街 低层三房实用90方 保养新净 位置安静  ",200,3室2厅2卫,55平方米,1998年,南,普通住宅,低层(共9层),精装修
发布时间：2018年12月11日,"
      汇美之家 铁口300米 公立小学学位 一次性更优少5万  ",75,3室2厅2卫,90平方米,2010年,南,普通住宅,中层(共12层),简单装修
发布时间：2018年12月11日,"
      京溪地铁口上盖 广信春兰花园 采光通风非常好 业主急售送车位  ",345,3室2厅2卫,93平方米,1998年,东南,普通住宅,高层(共9层),精装修
发布时间：2018年12月14日,"
      双岗地铁口 首付三成 产权清晰 满五唯一免个税 送家私家电  ",70,3室2厅2卫,85平方米,2005年,东南,普通住宅,中层(共8层),精装修
发布时间：2018年12月18日,"
      鱼木小区 地铁口物业 大三房 有钥匙 看房方便  ",255,3室2厅1卫,88平方米,1995年,南,普通住宅,中层(共9层),精装修
发布时间：2018年12月13日,"
      新塘白江地铁口 首付只要15万 精装三房 来电马上看房有钥匙  ",90,1室1厅1卫,38.4平方米,2012年,东,普通住宅,低层(共11层),精装修
发布时间：2018年11月13日,"
      海新街公安宿舍中层实用三房 精装修 附近配套成熟急售248万  ",248,3室2厅1卫,92平方米,2000年,西南,普通住宅,中层(共9层),精装修
发布时间：2018年12月15日,"
      云峰花园 业主换房急售 南向大三房 采光通风好 看房方便  ",280,3室2厅2卫,117平方米,2010年,南,普通住宅,高层(共11层),简单装修
发布时间：2018年12月14日,"
      新收笋盘 万科山景城 位置好 优惠几十万全新未住 产权清晰  ",460,5室2厅3卫,84.2平方米,2014年,南,别墅,低层(共6层),精装修
发布时间：2018年12月15日,"
      晓港湾 准电梯南向三房 安静望花园315万 近地铁 繁华商圈  ",315,3室2厅1卫,91平方米,2000年,南,普通住宅,中层(共9层),精装修
发布时间：2018年12月17日,"
      南洲花苑低楼层 精装修实用3房入手即住 适合刚需炒家入手  ",220,3室1厅1卫,87平方米,1997年,东,普通住宅,中层(共9层),简单装修
发布时间：2018年12月07日,"
      离地铁口800米 首付12万 随时可看  ",98,3室2厅2卫,85平方米,2010年,南,普通住宅,中层(共19层),精装修
发布时间：2018年12月15日,"
      业主急售股市盈亏负债急需资金还钱仅此一套新房可捏价随时看房  ",220,2室2厅1卫,89平方米,2014年,东南,普通住宅,中层(共7层),精装修
发布时间：2018年12月20日,"
      科技楼 南北对流 住家装修  首付低至20万笋到您怀疑人生  ",108,3室2厅1卫,88平方米,1999年,南北,普通住宅,低层(共9层),简单装修
发布时间：2018年12月06日,"
      3D全景 黄埔 文船小区 南向三房 安静不吵 业主自住  ",195,3室2厅1卫,81平方米,1998年,南,普通住宅,中层(共8层),精装修
发布时间：2018年12月16日,"
      金融城 东圃地铁口 汇友苑 新装修三房 可当婚房 价格可谈  ",298,3室2厅2卫,92平方米,2005年,东南,普通住宅,中层(共18层),精装修
发布时间：2018年11月29日,"
      中森名苑全新一手楼盘出售 85方可做三房带主套 找我有98折  ",168,3室2厅2卫,85.8平方米,2018年,南,普通住宅,中层(共24层),精装修
发布时间：2018年12月11日,"
      好便宜 春兰花园低楼层精装大三房 送私家花园 看房方便  ",360,3室2厅2卫,103.6平方米,2000年,南,普通住宅,低层(共9层),精装修
发布时间：2018年12月06日,"
      诚信裕馨 近邻花果山地铁口 精装三房格局分明 来电马上看房  ",145,3室2厅1卫,98平方米,2000年,北,普通住宅,中层(共9层),精装修
发布时间：2018年12月01日,"
      新世界花园两房改三房 实用率高 价格笋 业主诚心放卖  ",150,2室2厅1卫,76.8平方米,2013年,北,普通住宅,高层(共6层),精装修
